SubmissionDate,start,end,today,deviceid,Enumerator_ID,MATINH,MAHUYEN,MAXA,HOSO,hhstatus,I_Q3,I_Q4,T_Q2_1,total_samples,total_similar,Strain,StrainB,Strain_present,date,KYDIEUTRA
4/23/2023 21:05,4/22/2023 9:31,4/23/2023 21:05,22-Apr-23,3.57625E+14,5,10,82,2734,8,,option_1,option_1,option_4,3,TRUE,RIA1,GIFT-derived,GIFT-derived,4/23/2023 21:05,2
10/6/2023 8:28,10/6/2023 8:00,10/6/2023 8:28,6-Oct-23,3.57625E+14,1,14,116,3673,1,option_1,option_2,option_2,option_2 option_5,5,FALSE,03_BEST,GIFT-derived,GIFT-derived,10/6/2023 8:28,4
4/25/2023 21:23,4/25/2023 10:08,4/25/2023 21:23,25-Apr-23,ca61ed86ba172374,2,82,816,28708,12,,option_1,option_1,option_5,3,TRUE,RIA1,GIFT-derived,GIFT-derived,4/25/2023 21:23,2
10/7/2023 12:15,10/7/2023 11:57,10/7/2023 12:15,7-Oct-23,3.57625E+14,1,17,157,5320,10,option_1,option_1,option_1,option_5,5,FALSE,10_Mossambicus,Non-GIFT,GIFT-derived,10/7/2023 12:15,4
12/12/2023 15:18,12/12/2023 15:09,12/12/2023 15:18,12-Dec-23,3.57625E+14,1,8,75,2530,10,option_1,option_1,option_1,option_5,4,TRUE,RIA1,GIFT-derived,GIFT-derived,12/12/2023 15:18,4
4/28/2023 15:08,4/28/2023 14:05,4/28/2023 15:08,28-Apr-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,4,51,1666,8,,option_2,option_2,option_5,5,TRUE,RIA1,GIFT-derived,GIFT-derived,4/28/2023 15:08,2
5/6/2023 10:30,5/5/2023 11:10,5/6/2023 10:29,5-May-23,3.57625E+14,5,96,973,32245,15,,option_1,option_2,option_5,5,TRUE,RIA1,GIFT-derived,GIFT-derived,5/6/2023 10:30,2
4/24/2023 18:41,4/24/2023 16:18,4/24/2023 16:57,24-Apr-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,8,72,2275,1,,option_1,option_1,option_2,3,FALSE,10_Mossambicus,Non-GIFT,NA,4/24/2023 18:41,2
10/7/2023 11:02,10/7/2023 10:28,10/7/2023 11:02,7-Oct-23,3.57625E+14,1,17,157,5320,6,option_1,option_1,option_1,option_1 option_2,5,TRUE,RIA1,GIFT-derived,GIFT-derived,10/7/2023 11:02,4
6/27/2023 22:48,6/27/2023 17:41,6/27/2023 22:47,27-Jun-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,15,141,4714,8,option_1,option_1,option_2,option_8,3,TRUE,RIA1,GIFT-derived,GIFT-derived,6/27/2023 22:48,2
